kv,hv,gv,e,date
1,46,15,24933,2024-06-24
2,259,115,4027,2024-06-24
3,529,219,,2024-06-24
4,658,83,18605,2024-06-24
5,1641,118,32757,2024-06-24
6,683,119,18067,2024-06-24
7,29,15,11150,2024-06-24
8,500,25,18940,2024-06-24
9,1110,112,,2024-06-24
10,578,65,11636,2024-06-24
11,50,32,11924,2024-06-24
12,321,4,9118,2024-06-24
13,110,58,48904,2024-06-24
14,13,8,24318,2024-06-24
15,131,46,,2024-06-24
16,63,"1,145",,2024-06-24
17,429,75,28212,2024-06-24
18,392,11,14018,2024-06-24
19,250,"1,375",,2024-06-24
20,177,119,,2024-06-24
21,13,11,24907,2024-06-24
22,24,81,10965,2024-06-24
23,"1,141","1,138",15350,2024-06-24
24,51,36,36652,2024-06-24
25,76,"1,121",38612,2024-06-24
26,38,21,12329,2024-06-24
27,"1,124","1,111",12670,2024-06-24
28,68,32,30504,2024-06-24
29,"33,3",26,,2024-06-24
30,882,171,,2024-06-24
31,557,109,15594,2024-06-24
32,796,102,,2024-06-24
33,норм,норм,23046,2024-06-24
34,20,12,16911,2024-06-24
35,416,198,,2024-06-24
36,82,244,18880,2024-06-24
37,457,26,12171,2024-06-24
38,125,56,21822,2024-06-24
39,593,178,14668,2024-06-24
40,1000,505,23255,2024-06-24
41,514,52,35487,2024-06-24
42,206,61,,2024-06-24
43,174,87,25337,2024-06-24
44,310,37,20690,2024-06-24
45,395,"0,302",15130,2024-06-24
46,28,27,,2024-06-24
47,243,47,20690,2024-06-24
48,429,74,,2024-06-24
49,1578,120,,2024-06-24
50,562,275,13969,2024-06-24
51,1395,360,22121,2024-06-24
52,1533,149,,2024-06-24
53,746,245,18718,2024-06-24
54,17,20,21204,2024-06-24
55,217,50,19870,2024-06-24
56,680,315,,2024-06-24
57,59,39,16296,2024-06-24
58,263,1,16333,2024-06-24
59,387,182,16005,2024-06-24
60,468,2,8355,2024-06-24
61,431,121,,2024-06-24
62,250,71,,2024-06-24
63,158,74,,2024-06-24
64,283,30,2460,2024-06-24
65,40,11,22927,2024-06-24
66,"1,654","1,215",14973,2024-06-24
67,515,141,18660,2024-06-24
68,56,101,22734,2024-06-24
69,552,164,20389,2024-06-24
70,910,97,,2024-06-24
71,378,88,12270,2024-06-24
72,687,69,13054,2024-06-24
73,837,273,35736,2024-06-24
74,621,132,15054,2024-06-24
75,239,116,,2024-06-24
76,662,251,47139,2024-06-24
77,79,60,17000,2024-06-24
78,8,16,,2024-06-24
79,80,75,21800,2024-06-24
80,6,4,21622,2024-06-24
81,146,18,17748,2024-06-24
82,314,131,11129,2024-06-24
83,122,82,24807,2024-06-24
84,16,17,,2024-06-24
85,106,70,,2024-06-24
86,141,40,28584,2024-06-24
87,38,30,6759,2024-06-24
88,44,"1,023",9990,2024-06-24
89,61,140,23933,2024-06-24
90,"1,084","1,5",12118,2024-06-24
91,190,8,22250,2024-06-24
92,87,"1,24",23548,2024-06-24
93,559,348,,2024-06-24
94,56,"1,115",21436,2024-06-24
95,174,5,10970,2024-06-24
96,419,"1,274",33450,2024-06-24
97,832,55,20634,2024-06-24
98,45,21,11795,2024-06-24
99,674,158,17341,2024-06-24
100,60,"1,09",28010,2024-06-24
101,96,130,44226,2024-06-24
102,64,3,,2024-06-24
103,294,194,23583,2024-06-24
104,57,"1,101",,2024-06-24
105,"1,801","1,716",141,2024-06-24
106,509,119,13552,2024-06-24
107,159,206,20041,2024-06-24
108,502,150,,2024-06-24
109,"117,7",427,,2024-06-24
110,280,183,13090,2024-06-24
111,252,82,13598,2024-06-24
112,425,10,,2024-06-24
113,387,308,24600,2024-06-24
114,124,219,,2024-06-24
115,343,148,,2024-06-24
116,553,219,,2024-06-24
117,340,24,12298,2024-06-24
118,"1,125","1,307",574,2024-06-24
119,278,189,,2024-06-24
120,55,18,31456,2024-06-24
121,455,100,24375,2024-06-24
122,631,464,13690,2024-06-24
123,302,22,17843,2024-06-24
124,806,78,16305,2024-06-24
125,101,29,10326,2024-06-24
126,390,214,82,2024-06-24
127,352,246,12130,2024-06-24
128,112,"1,143",59168,2024-06-24
129,195,94,15750,2024-06-24
130,101,38,7400,2024-06-24
131,524,113,12301,2024-06-24
132,1251,34,,2024-06-24
133,903,150,26630,2024-06-24
134,394,224,,2024-06-24
135,777,145,21400,2024-06-24
136,21,"1,146",47264,2024-06-24
137,256,3,,2024-06-24
138,294,108,7144,2024-06-24
139,653,"1,042",18833,2024-06-24
140,86,"0,13",36441,2024-06-24
141,589,266,33100,2024-06-24
142,365,118,20138,2024-06-24
143,187,108,,2024-06-24
144,66,23,,2024-06-24
